Date;ADS GY Equity;AI FP Equity;AIR FP Equity;ALV GY Equity;ABI BB Equity;ASML NA Equity;CS FP Equity;BBVA SM Equity;SAN SM  Equity;BAS GY Equity;BAYN GY Equity;BMW GY Equity;BNP FP Equity;CRH ID Equity;BN FP Equity;DB1 GY Equity;DHL GR EQUITY;DTE GY Equity;ENEL IM Equity;ENI IM Equity;EL FP Equity;RMS FP Equity;IBE SM Equity;ITX SM Equity;IFX GY Equity;INGA NA Equity;ISP IM Equity;KER FP Equity;AD NA Equity;OR FP Equity;MC FP Equity;MBG GY Equity;MUV2 GY Equity;NOKIA FH Equity;NDA FH Equity;RI FP Equity;SAF FP Equity;SAN FP Equity;SAP GY Equity;SU FP Equity;SIE GY Equity;TTE FP Equity;DG FP Equity;VOW3 GY Equity
22/06/2020;235,8;115,77;67,26;179,48;44,95;322,55;18,54;3,06;2,04;50,41;68,65;57,36;35,1;31,4;63,62;157,5;31,14;14,7;7,6;8,8;116,45;742,8;10,13;24,5;20,32;6,26;1,68;504;23,81;276,7;378,9;30,82;228,2;3,84;6,23;141,65;93,54;92,53;124,02;95,8;92,87;35,44;85,44;130,28
23/06/2020;242,7;117,32;66,76;183,4;46,3;327,9;18,82;3,19;2,14;51,5;72,6;58,41;36,31;31,65;64,5;161,8;31,76;15,01;7,81;8,9;118;751;10,29;23,99;20,78;6,44;1,71;497,6;24,21;280,6;390,65;31,13;232,6;3,87;6,42;142,75;95,12;92,78;125,5;97,6;94,13;36,19;83,1;136,2
24/06/2020;235,7;114,73;62,97;178,02;43,95;321,75;18,41;3,03;2,05;49,65;69,99;56,18;34,51;30,36;63,38;155,7;31,4;14,63;7,62;8,47;112,5;726,8;10;24;20,42;6,11;1,67;474,6;23,75;279;381,35;29,25;224,7;3,77;6,18;139,3;89,76;90,57;120,1;96;91,65;34,93;81,1;129,62
25/06/2020;238;115,32;63,92;180,76;44,11;322;18,57;3,07;2,1;49,7;67,93;57,08;35,18;29,99;63,34;160,35;31,85;14,76;7,66;8,48;115,15;736;10,11;23,75;20,59;6,24;1,68;474,9;23,91;281;383,85;30,08;228;3,78;6,27;140,1;88,9;91,36;120,8;96,56;92,43;35,21;82,02;133,06
26/06/2020;233;114,64;61,88;178;43,34;324;18,53;3;2,03;48,7;66,79;55,77;34,49;30,25;63,44;159,75;31,3;14,56;7,64;8,4;115,2;737,8;10,04;23,91;20,55;6,02;1,66;477;23,99;285,1;387,7;29,39;225,5;3,89;6,09;140,05;87,8;90,61;122,12;97,3;92,18;35,15;81,32;133,32
29/06/2020;231,4;115,91;63,35;180,22;43,6;322,2;18,62;3,08;2,12;50,13;66,9;56,71;35,35;30,68;62,1;159,7;31,85;14,81;7,72;8,63;117,45;741,4;10,18;23,57;20,54;6,26;1,7;481,25;24,12;285,3;389,5;30,15;227,2;3,88;6,22;139,9;89,18;91,04;122,44;98,6;93,86;34,55;82,74;134,58
30/06/2020;233,6;116,73;63,52;181,76;43,87;326,9;18,61;3,06;2,08;49,88;65,79;56,82;35,37;30,5;61,56;161,05;32,7;14,95;7,68;8,49;114,25;743,8;10,32;23,49;20,88;6,2;1,7;484,25;24,26;285,7;390,5;30,34;231,4;3,89;6,15;140,05;89,22;90,16;124,32;98,88;94,82;33,98;82;134,94
01/07/2020;235,1;116,77;64,19;180,1;43,43;327,15;18,52;3,01;2,05;49,33;65,9;56,2;34,72;30,79;60,88;162;32,84;14,87;7,7;8,48;115,55;739,4;10,36;24,33;20,53;6,18;1,69;481;23,88;286,7;391,6;29,94;226,8;3,86;6,17;140,55;89,9;90,61;123,86;97,12;94,13;34,16;81,8;133,32
02/07/2020;244,6;120,59;66,41;186,1;44,82;332,75;19,09;3,23;2,19;50,97;67,08;57,95;36,61;31,79;62,5;165,45;33,04;15,12;7,95;8,72;116,95;763,4;10,72;24;20,85;6,45;1,75;492,4;24,13;296,7;401,85;31,2;232,2;3,97;6,28;143,85;91,56;91,46;127,66;98,28;96,45;34,85;84,2;137,2
03/07/2020;241,4;118,5;65,63;184,14;44,88;333,95;18,9;3,15;2,13;50,47;66,68;57,26;36,28;31,66;61,82;165;33,14;14,99;7,87;8,67;118,3;750,6;10,73;24,4;20,83;6,43;1,75;494,8;23,87;289,6;396,7;30,78;232,3;3,99;6,21;142,45;90,7;90,51;127,58;97,86;95,98;34,64;83,96;135,58
