Date;EUR006M Index
11/08/2021;-0,53
12/08/2021;-0,527
13/08/2021;-0,528
16/08/2021;-0,527
17/08/2021;-0,527
18/08/2021;-0,527
19/08/2021;-0,529
20/08/2021;-0,528
23/08/2021;-0,529
24/08/2021;-0,527
25/08/2021;-0,528
26/08/2021;-0,53
27/08/2021;-0,529
30/08/2021;-0,529
31/08/2021;-0,522
01/09/2021;-0,521
02/09/2021;-0,52
03/09/2021;-0,519
06/09/2021;-0,52
07/09/2021;-0,518
08/09/2021;-0,517
09/09/2021;-0,522
10/09/2021;-0,519
13/09/2021;-0,52
14/09/2021;-0,522
15/09/2021;-0,524
16/09/2021;-0,522
17/09/2021;-0,526
20/09/2021;-0,528
21/09/2021;-0,53
22/09/2021;-0,523
23/09/2021;-0,528
24/09/2021;-0,523
27/09/2021;-0,517
28/09/2021;-0,523
29/09/2021;-0,523
30/09/2021;-0,528
01/10/2021;-0,526
04/10/2021;-0,527
05/10/2021;-0,525
06/10/2021;-0,53
07/10/2021;-0,526
08/10/2021;-0,518
11/10/2021;-0,521
12/10/2021;-0,523
13/10/2021;-0,524
14/10/2021;-0,523
15/10/2021;-0,528
18/10/2021;-0,527
19/10/2021;-0,524
20/10/2021;-0,527
21/10/2021;-0,532
22/10/2021;-0,534
25/10/2021;-0,528
26/10/2021;-0,533
27/10/2021;-0,536
28/10/2021;-0,533
29/10/2021;-0,527
01/11/2021;-0,529
02/11/2021;-0,534
03/11/2021;-0,538
04/11/2021;-0,538
05/11/2021;-0,536
08/11/2021;-0,537
09/11/2021;-0,533
10/11/2021;-0,532
11/11/2021;-0,527
12/11/2021;-0,533
15/11/2021;-0,528
16/11/2021;-0,53
17/11/2021;-0,538
18/11/2021;-0,533
19/11/2021;-0,528
22/11/2021;-0,528
23/11/2021;-0,533
24/11/2021;-0,54
25/11/2021;-0,542
26/11/2021;-0,537
29/11/2021;-0,536
30/11/2021;-0,538
01/12/2021;-0,541
02/12/2021;-0,541
03/12/2021;-0,537
06/12/2021;-0,543
07/12/2021;-0,538
08/12/2021;-0,54
09/12/2021;-0,546
10/12/2021;-0,543
13/12/2021;-0,547
14/12/2021;-0,545
15/12/2021;-0,547
16/12/2021;-0,548
17/12/2021;-0,551
20/12/2021;-0,554
21/12/2021;-0,551
22/12/2021;-0,545
23/12/2021;-0,537
24/12/2021;-0,544
27/12/2021;-0,544
28/12/2021;-0,548
29/12/2021;-0,544
30/12/2021;-0,546
31/12/2021;-0,546
03/01/2022;-0,539
04/01/2022;-0,535
05/01/2022;-0,541
06/01/2022;-0,534
07/01/2022;-0,536
10/01/2022;-0,531
11/01/2022;-0,528
12/01/2022;-0,529
13/01/2022;-0,534
14/01/2022;-0,533
17/01/2022;-0,523
18/01/2022;-0,524
19/01/2022;-0,524
20/01/2022;-0,521
21/01/2022;-0,522
24/01/2022;-0,522
25/01/2022;-0,523
26/01/2022;-0,524
27/01/2022;-0,518
28/01/2022;-0,519
31/01/2022;-0,514
01/02/2022;-0,503
02/02/2022;-0,502
03/02/2022;-0,499
04/02/2022;-0,473
07/02/2022;-0,456
08/02/2022;-0,463
09/02/2022;-0,457
10/02/2022;-0,467
11/02/2022;-0,458
14/02/2022;-0,448
15/02/2022;-0,455
16/02/2022;-0,461
17/02/2022;-0,478
18/02/2022;-0,487
21/02/2022;-0,482
22/02/2022;-0,49
23/02/2022;-0,483
24/02/2022;-0,48
25/02/2022;-0,488
28/02/2022;-0,493
01/03/2022;-0,496
02/03/2022;-0,502
03/03/2022;-0,485
04/03/2022;-0,482
07/03/2022;-0,453
08/03/2022;-0,443
09/03/2022;-0,424
10/03/2022;-0,427
11/03/2022;-0,414
14/03/2022;-0,413
15/03/2022;-0,407
16/03/2022;-0,393
17/03/2022;-0,402
18/03/2022;-0,393
21/03/2022;-0,391
22/03/2022;-0,393
23/03/2022;-0,392
24/03/2022;-0,397
25/03/2022;-0,392
28/03/2022;-0,388
29/03/2022;-0,381
30/03/2022;-0,371
31/03/2022;-0,367
01/04/2022;-0,362
04/04/2022;-0,358
05/04/2022;-0,375
06/04/2022;-0,361
07/04/2022;-0,355
08/04/2022;-0,35
11/04/2022;-0,334
12/04/2022;-0,32
13/04/2022;-0,328
14/04/2022;-0,317
19/04/2022;-0,333
20/04/2022;-0,332
21/04/2022;-0,31
22/04/2022;-0,268
25/04/2022;-0,239
26/04/2022;-0,246
27/04/2022;-0,251
28/04/2022;-0,242
29/04/2022;-0,226
02/05/2022;-0,204
03/05/2022;-0,198
04/05/2022;-0,205
05/05/2022;-0,206
06/05/2022;-0,206
09/05/2022;-0,183
10/05/2022;-0,202
11/05/2022;-0,208
12/05/2022;-0,211
13/05/2022;-0,209
16/05/2022;-0,192
17/05/2022;-0,166
18/05/2022;-0,126
19/05/2022;-0,096
20/05/2022;-0,078
23/05/2022;-0,085
24/05/2022;-0,073
25/05/2022;-0,062
26/05/2022;-0,061
27/05/2022;-0,076
30/05/2022;-0,068
31/05/2022;-0,045
01/06/2022;-0,034
02/06/2022;-0,017
03/06/2022;-0,008
06/06/2022;0,009
07/06/2022;0,029
08/06/2022;0,034
09/06/2022;0,063
10/06/2022;0,083
13/06/2022;0,108
14/06/2022;0,175
15/06/2022;0,237
16/06/2022;0,249
17/06/2022;0,291
20/06/2022;0,273
21/06/2022;0,289
22/06/2022;0,291
23/06/2022;0,273
24/06/2022;0,223
27/06/2022;0,223
28/06/2022;0,225
29/06/2022;0,278
30/06/2022;0,263
01/07/2022;0,238
04/07/2022;0,241
05/07/2022;0,234
06/07/2022;0,226
07/07/2022;0,238
08/07/2022;0,322
11/07/2022;0,365
12/07/2022;0,379
13/07/2022;0,363
14/07/2022;0,448
15/07/2022;0,532
18/07/2022;0,503
19/07/2022;0,534
20/07/2022;0,635
21/07/2022;0,632
22/07/2022;0,706
25/07/2022;0,633
26/07/2022;0,623
27/07/2022;0,631
28/07/2022;0,66
29/07/2022;0,653
01/08/2022;0,654
02/08/2022;0,652
03/08/2022;0,667
04/08/2022;0,689
05/08/2022;0,678
08/08/2022;0,729
09/08/2022;0,737
10/08/2022;0,774
11/08/2022;0,764
12/08/2022;0,766
15/08/2022;0,745
16/08/2022;0,735
17/08/2022;0,753
18/08/2022;0,826
19/08/2022;0,862
22/08/2022;0,908
23/08/2022;0,926
24/08/2022;0,947
25/08/2022;0,984
26/08/2022;0,983
29/08/2022;1,077
30/08/2022;1,193
31/08/2022;1,203
01/09/2022;1,24
02/09/2022;1,29
05/09/2022;1,298
06/09/2022;1,337
07/09/2022;1,363
08/09/2022;1,354
09/09/2022;1,442
12/09/2022;1,494
13/09/2022;1,538
14/09/2022;1,548
15/09/2022;1,608
16/09/2022;1,672
19/09/2022;1,737
20/09/2022;1,74
21/09/2022;1,766
22/09/2022;1,763
23/09/2022;1,803
26/09/2022;1,803
27/09/2022;1,851
28/09/2022;1,858
29/09/2022;1,8
30/09/2022;1,809
03/10/2022;1,775
04/10/2022;1,762
05/10/2022;1,731
06/10/2022;1,838
07/10/2022;1,897
10/10/2022;1,962
11/10/2022;2,003
12/10/2022;1,998
13/10/2022;2,012
14/10/2022;2,027
17/10/2022;2,032
18/10/2022;2,038
19/10/2022;2,057
20/10/2022;2,083
21/10/2022;2,107
24/10/2022;2,132
25/10/2022;2,106
26/10/2022;2,103
27/10/2022;2,118
28/10/2022;2,034
31/10/2022;2,13
01/11/2022;2,168
02/11/2022;2,198
03/11/2022;2,225
04/11/2022;2,278
07/11/2022;2,296
08/11/2022;2,316
09/11/2022;2,333
10/11/2022;2,319
11/11/2022;2,291
14/11/2022;2,337
15/11/2022;2,3
16/11/2022;2,311
17/11/2022;2,294
18/11/2022;2,342
21/11/2022;2,327
22/11/2022;2,338
